Year,County,Month,Male,Female,Unknown,Total
2020,Caroline,2,20,2,0,22
2020,Caroline,3,10,6,0,16
2020,Caroline,4,0,0,0,0
2020,Caroline,5,0,0,0,0
2020,Caroline,6,14,5,0,19
2018,Garrett,1,4,0,5,9
2018,Garrett,10,8,6,0,14
2018,Garrett,11,8,0,0,8
2018,Garrett,12,5,4,0,9
2018,Garrett,2,4,1,0,5
2018,Garrett,3,4,0,2,6
2018,Garrett,4,5,2,1,8
2018,Garrett,5,4,2,1,7
2018,Garrett,6,3,1,0,4
2018,Garrett,7,4,1,1,6
2018,Garrett,8,6,1,0,7
2018,Garrett,9,7,3,0,10
2019,Garrett,1,4,3,0,7
2019,Garrett,10,19,5,1,25
2019,Garrett,11,11,3,0,14
2019,Garrett,12,7,3,0,10
2019,Garrett,2,11,0,0,11
2019,Garrett,3,5,1,0,6
2019,Garrett,4,4,1,0,5
2019,Garrett,5,9,0,0,9
2019,Garrett,6,6,3,0,9
2019,Garrett,7,6,0,0,6
2019,Garrett,8,5,2,0,7
2019,Garrett,9,7,4,0,11
2020,Garrett,1,6,1,0,7
2020,Garrett,2,6,4,0,10
2020,Garrett,3,6,4,0,10
2020,Garrett,4,0,0,0,0
2020,Garrett,5,0,0,0,0
2020,Garrett,6,14,2,0,16
2018,Queen_Annes,1,4,1,0,5
2018,Queen_Annes,10,11,1,0,12
2018,Queen_Annes,11,11,1,0,12
2018,Queen_Annes,12,6,3,0,9
2018,Queen_Annes,2,3,2,0,5
2018,Queen_Annes,3,10,2,0,12
2018,Queen_Annes,4,9,0,0,9
2018,Queen_Annes,5,7,5,0,12
2018,Queen_Annes,6,4,1,0,5
2018,Queen_Annes,7,10,4,0,14
2018,Queen_Annes,8,9,1,0,10
2018,Queen_Annes,9,15,4,0,19
2019,Queen_Annes,1,14,5,0,19
2019,Queen_Annes,10,6,1,0,7
2019,Queen_Annes,11,5,3,1,9
2019,Queen_Annes,12,11,4,0,15
2019,Queen_Annes,2,11,1,0,12
2019,Queen_Annes,3,12,4,0,16
2019,Queen_Annes,4,14,3,0,17
2019,Queen_Annes,5,6,2,0,8
2019,Queen_Annes,6,8,2,1,11
2019,Queen_Annes,7,9,4,0,13
2019,Queen_Annes,8,9,5,0,14
2019,Queen_Annes,9,9,1,0,10
2020,Queen_Annes,1,6,0,0,6
2020,Queen_Annes,2,7,3,0,10
2020,Queen_Annes,3,6,1,0,7
2020,Queen_Annes,4,2,0,0,2
2020,Queen_Annes,5,6,0,0,6
2020,Queen_Annes,6,15,4,1,20
2018,Worcester,1,12,1,0,13
2018,Worcester,10,15,6,1,22
2018,Worcester,11,13,3,1,17
2018,Worcester,12,18,3,0,21
2018,Worcester,2,4,1,1,6
2018,Worcester,3,5,2,1,8
2018,Worcester,4,4,3,0,7
2018,Worcester,5,5,1,0,6
2018,Worcester,6,8,0,0,8
2018,Worcester,7,4,2,0,6
2018,Worcester,8,7,4,0,11
2018,Worcester,9,11,2,0,13
2019,Worcester,1,10,3,0,13
2019,Worcester,10,15,9,0,24
2019,Worcester,11,12,6,0,18
2019,Worcester,12,24,4,1,29
2019,Worcester,2,11,2,0,13
2019,Worcester,3,13,5,1,19
2019,Worcester,4,13,3,0,16
2019,Worcester,5,11,2,0,13
2019,Worcester,6,9,4,0,13
2019,Worcester,7,16,7,0,23
2019,Worcester,8,16,8,0,24
2019,Worcester,9,14,9,1,24
2020,Worcester,1,14,10,0,24
2020,Worcester,2,13,5,0,18
2020,Worcester,3,9,3,0,12
2020,Worcester,4,1,1,0,2
2020,Worcester,5,3,2,0,5
2020,Worcester,6,22,4,0,26
